Index	Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	Number_Event	N/A_number	Likelihood_ratio_test	Wald_test	Score_test	zph	concordance
	HNSC	new_tumor_event_after_initial_treatment	YES (vs NO)	2.133684428	1.454543929	3.129922135	0.000105916	49/31--150/36	1(0.19%)	0.000386721	0.000105916	7.21E-05	0.359766736	0.534735874
	HNSC	new_tumor_event_type	Locoregional_Recurrence (vs No)	1.815722967	1.117277298	2.950789297	0.016059341	29/18--458/188	NA	NA	NA	NA	0.365863971	NA
	HNSC	new_tumor_event_type	Distant_Metastasis (vs No)	1.805785855	1.003970554	3.247966325	0.04847341	20/12--458/188	NA	NA	NA	NA	0.185293129	NA
	HNSC	new_tumor_event_type	Locoregional_Disease (vs No)	0.602393235	0.192369219	1.886360047	0.384157791	11/3--458/188	NA	NA	NA	NA	0.804291199	NA
	HNSC	new_tumor_event_type	New_Primary_Tumor (vs No)	0.386586674	0.095917009	1.558110061	0.181424051	10/2--458/188	NA	NA	NA	NA	0.0152977	NA
	HNSC	new_tumor_event_type	Global	NA	NA	NA	NA	NA	1(0.19%)	0.018766618	0.016628102	0.01298774	0.089660264	0.53821434
	HNSC	new_tumor_event_dx_days_to	Yes (vs No)	2.211739424	1.690523206	2.89365521	7.08E-09	145/93--383/130	1(0.19%)	2.02E-08	7.08E-09	2.86E-09	0.003861493	0.567338659
	HNSC	postoperative_rx_tx	YES (vs NO)	1.43816499	0.961530615	2.151068833	0.076896228	66/28--462/195	1(0.19%)	0.090002351	0.076896228	0.075304052	0.256493021	0.51504315
	HNSC	number_of_lymphnodes_positive_by_he	Yes (vs No)	1.409188563	1.0823136	1.834784674	0.010852541	241/118--287/105	1(0.19%)	0.010806011	0.010852541	0.010473025	0.518003493	0.547597139
	HNSC	perineural_invasion_present	YES (vs NO)	1.583318475	1.212620095	2.067339478	0.000734121	172/94--356/129	1(0.19%)	0.000887021	0.000734121	0.0006592	0.153155971	0.566495183
	HNSC	extracapsular_spread_pathologic	Microscopic_Extension (vs No_Extranodal_Extension)	2.734619041	1.900608224	3.934604306	5.98E-08	77/47--248/82	NA	NA	NA	NA	0.87745506	NA
	HNSC	extracapsular_spread_pathologic	Gross_Extension (vs No_Extranodal_Extension)	2.588804825	1.620619293	4.13540086	6.88E-05	38/24--248/82	NA	NA	NA	NA	0.192029331	NA
	HNSC	extracapsular_spread_pathologic	Global	NA	NA	NA	NA	NA	166(31.44%)	4.43E-08	1.59E-08	3.81E-09	0.368441163	0.616202993
	HNSC	lymphovascular_invasion	YES (vs NO)	1.652644757	1.182775218	2.30917477	0.003245219	124/63--232/78	173(32.77%)	0.003717555	0.003245219	0.002939457	0.996812573	0.558703951
	KICH	AR	(continuous)	1.177282952	0.888310144	1.56026041	0.256050046	Sep-65	48(42.48%)	0.242996722	0.256050046	0.249901484	0.908689285	0.605381166
	KICH	AR	H (vs L)	1.561148742	0.389951416	6.249971913	0.529117632	32/3--33/6	48(42.48%)	0.520381399	0.529117632	0.52572792	0.885291326	0.552690583
	KICH	ESR1	(continuous)	1.036659277	0.695439856	1.545298918	0.859696687	Sep-65	48(42.48%)	0.860371589	0.859696687	0.859690144	0.664945397	0.542600897
	KICH	ESR1	H (vs L)	2.096301275	0.523946239	8.387270883	0.295429927	32/3--33/6	48(42.48%)	0.280582433	0.295429927	0.284501521	0.884480372	0.585201794
	KICH	ESR2	(continuous)	2.184408856	1.242205679	3.841265686	0.006666371	Sep-65	48(42.48%)	0.012633436	0.006666371	0.00535419	0.268140697	0.725336323
	KICH	ESR2	H (vs L)	4.539791313	0.941919604	21.88053533	0.059376466	34/2--31/7	48(42.48%)	0.036258692	0.059376466	0.038515758	0.240945257	0.689461883
	KICH	PGR	(continuous)	0.875900282	0.675759094	1.135317764	0.316778096	Sep-65	48(42.48%)	0.327606177	0.316778096	0.310707378	0.25022045	0.562780269
	KICH	PGR	H (vs L)	1.449913475	0.388871964	5.406018637	0.580065055	33/4--32/5	48(42.48%)	0.578541399	0.580065055	0.577897101	0.97092563	0.544843049
	KICH	age_at_initial_pathologic_diagnosis	(continuous)	1.068433385	1.018329962	1.121001976	0.006909147	112/12	1(0.88%)	0.004337062	0.006909147	0.00480083	0.786473304	0.70398773
	KICH	gender	FEMALE (vs MALE)	0.835517141	0.265031198	2.63398761	0.759031803	51/5--62/8	1(0.88%)	0.758017805	0.759031803	0.758718425	0.387813006	0.507668712
	KICH	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	1.31294332	0.184602992	9.337986018	0.78561129	33/2--54/3	NA	NA	NA	NA	0.073453417	NA
	KICH	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	4.620815018	0.844049787	25.29700469	0.077646698	19/4--54/3	NA	NA	NA	NA	0.06475292	NA
	KICH	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	23.64507525	4.288700728	130.3633942	0.000281729	7/4--54/3	NA	NA	NA	NA	0.05733174	NA
	KICH	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	1(0.88%)	0.001584013	0.000446555	6.31E-07	0.199646329	0.737218814
	KICH	pathologic_stage_v2	StageIII/IV (vs StageI/II)	6.816540658	2.051190308	22.65281108	0.001733529	26/8--87/5	1(0.88%)	0.001190489	0.001733529	0.000279095	0.337602778	0.711145194
	KICH	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	25.64444811	6.88945394	95.45571023	1.31E-06	16/10--96/3	2(1.77%)	1.58E-07	1.31E-06	7.22E-13	0.097323525	0.803480041
	KIRC	AR	(continuous)	0.802530827	0.750347059	0.858343776	1.43E-10	533/175	4(0.74%)	1.75E-09	1.43E-10	7.57E-11	0.691081731	0.657657895
	KIRC	AR	H (vs L)	0.400415438	0.29042011	0.552071009	2.33E-08	269/121--264/54	4(0.74%)	5.51E-09	2.33E-08	7.44E-09	0.976050607	0.608403509
	KIRC	ESR1	(continuous)	0.955382126	0.834483902	1.093795823	0.508477539	533/175	4(0.74%)	0.508240195	0.508477539	0.508769686	0.901861766	0.513789474
	KIRC	ESR1	H (vs L)	0.829322451	0.615472104	1.117476687	0.21870967	268/96--265/79	4(0.74%)	0.217661403	0.21870967	0.218044255	0.378130275	0.530026316
	KIRC	ESR2	(continuous)	1.25358884	1.133542955	1.386347974	1.08E-05	533/175	4(0.74%)	3.31E-05	1.08E-05	1.18E-05	0.213478691	0.588885965
	KIRC	ESR2	H (vs L)	1.897499881	1.399821117	2.572118504	3.67E-05	267/70--266/105	4(0.74%)	2.90E-05	3.67E-05	2.72E-05	0.778021347	0.576131579
	KIRC	PGR	(continuous)	0.898366143	0.806602646	1.000569154	0.051222176	533/175	4(0.74%)	0.049365136	0.051222176	0.051667602	0.85299205	0.52622807
	KIRC	PGR	H (vs L)	1.014756053	0.753755877	1.366131764	0.923077532	269/92--264/83	4(0.74%)	0.923087319	0.923077532	0.923076855	0.348963453	0.508824561
	KIRC	age_at_initial_pathologic_diagnosis	(continuous)	1.028105296	1.01548959	1.040877729	1.08E-05	537/177	0(0%)	9.94E-06	1.08E-05	9.54E-06	0.39001313	0.592342226
	KIRC	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	0.880529758	0.477290444	1.624446215	0.683860397	56/11--466/163	NA	NA	NA	NA	0.265923254	NA
	KIRC	race	ASIAN (vs WHITE)	0.52923379	0.073944607	3.78781384	0.526283186	8/1--466/163	NA	NA	NA	NA	0.282670801	NA
	KIRC	race	Global	NA	NA	NA	NA	NA	7(1.3%)	0.720519752	0.757230411	0.752183738	0.310387771	0.512943651
	KIRC	tobacco_smoking_history_v2	Yes (vs No)	0.36748374	0.207779298	0.649941067	0.000579546	87/13--450/164	0(0%)	7.71E-05	0.000579546	0.000345755	0.320126238	0.549254347
	KIRC	gender	FEMALE (vs MALE)	1.040646397	0.766464423	1.412909577	0.798451135	191/65--346/112	0(0%)	0.798803406	0.798451135	0.798438138	0.919643568	0.505719249
	KIRC	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	1.199876966	0.647138502	2.224724271	0.562960765	57/13--269/45	NA	NA	NA	NA	0.821838971	NA
	KIRC	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	2.705635246	1.811691885	4.040677193	1.15E-06	125/51--269/45	NA	NA	NA	NA	0.000592007	NA
	KIRC	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	6.574349316	4.502293068	9.600012322	0	83/67--269/45	NA	NA	NA	NA	4.80E-05	NA
	KIRC	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	3(0.56%)	0	0	0	0.00010016	0.730388238
	KIRC	pathologic_stage_v2	StageIII/IV (vs StageI/II)	3.908176163	2.852975682	5.353652685	0	208/118--326/58	3(0.56%)	0	0	0	3.54E-06	0.698185673
	KIRC	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	2.676754232	1.907089535	3.757040814	1.25E-08	285/131--244/45	NA	NA	NA	NA	0.025624924	NA
	KIRC	histological_grade_v2	GX (vs G_1/2/Low)	0.944073155	0.129895573	6.861466501	0.954649152	5/1--244/45	NA	NA	NA	NA	0.04344708	NA
	KIRC	histological_grade_v2	Global	NA	NA	NA	NA	NA	3(0.56%)	7.34E-09	6.75E-08	1.71E-08	0.017949052	0.6252675
	KIRC	laterality	Left (vs Right)	1.444324884	1.073610389	1.943046	0.015128198	253/98--283/79	NA	NA	NA	NA	0.537201611	NA
	KIRC	laterality	Bilateral (vs Right)	2.68E-06	0	Inf	0.993620185	1/0--283/79	NA	NA	NA	NA	0.999540133	NA
	KIRC	laterality	Global	NA	NA	NA	NA	NA	0(0%)	0.042921865	0.052299355	0.046207855	0.826648565	0.542055834
	KIRC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	5.029585667	3.637210636	6.954981307	0	159/110--353/55	25(4.66%)	0	0	0	0.171538018	0.702141504
	KIRC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	6.241780807	1.963224477	19.84481556	0.001915445	19/6--120/6	398(74.12%)	0.003243481	0.001915445	0.000414888	0.07714182	0.748720573
	KIRC	new_tumor_event_dx_days_to	Yes (vs NO)	2.319295734	1.722469292	3.122919362	2.99E-08	127/78--410/99	0(0%)	7.45E-08	2.99E-08	1.16E-08	0.527133262	0.598061475
	KIRC	history_of_neoadjuvant_treatment	Yes (vs No)	2.007557969	1.059730686	3.803125692	0.032521956	18/10--519/167	0(0%)	0.052831071	0.032521956	0.029150572	0.345833949	0.511292292
	KIRC	lymph_nodes_examined_positive	Yes (vs NO)	3.216385658	1.787398595	5.787817408	9.72E-05	18/12--519/165	0(0%)	0.000876731	9.72E-05	3.75E-05	0.35023382	0.52797702
	KIRC	serum_calcium_level	Low (vs Normal)	0.789860716	0.558358081	1.1173474	0.182537824	204/66--151/62	NA	NA	NA	NA	0.261673957	NA
	KIRC	serum_calcium_level	Elevated (vs Normal)	3.836577354	1.89585953	7.763932696	0.00018509	10/9--151/62	NA	NA	NA	NA	0.514206013	NA
	KIRC	serum_calcium_level	Global	NA	NA	NA	NA	NA	172(32.03%)	0.000919824	5.52E-05	9.17E-06	0.496176003	0.563076973
	KIRC	hemoglobin_level	Low (vs Normal)	2.239392434	1.57647113	3.181078536	6.74E-06	263/118--186/43	NA	NA	NA	NA	0.115563101	NA
	KIRC	hemoglobin_level	Elevated (vs Normal)	5.887674916	1.819640046	19.05031492	0.003084517	5/3--186/43	NA	NA	NA	NA	0.83018427	NA
	KIRC	hemoglobin_level	Global	NA	NA	NA	NA	NA	83(15.46%)	2.73E-06	5.28E-06	2.03E-06	0.287137186	0.58230931
	KIRC	platelet_count	Low (vs Normal)	1.637163486	1.014890072	2.640979898	0.043326901	46/20--360/108	NA	NA	NA	NA	0.74118268	NA
	KIRC	platelet_count	Elevated (vs Normal)	3.815628355	2.54084287	5.729996104	1.08E-10	38/30--360/108	NA	NA	NA	NA	0.373744497	NA
	KIRC	platelet_count	Global	NA	NA	NA	NA	NA	93(17.32%)	5.34E-08	6.41E-10	3.27E-11	0.592113048	0.593997562
	KIRC	white_cell_count	Low (vs Normal)	2.032371221	0.891899189	4.63116553	0.091465579	9/6--268/104	NA	NA	NA	NA	0.574139451	NA
	KIRC	white_cell_count	Elevated (vs Normal)	0.760290616	0.536802864	1.076823279	0.122785289	164/46--268/104	NA	NA	NA	NA	0.091537612	NA
	KIRC	white_cell_count	Global	NA	NA	NA	NA	NA	96(17.88%)	0.067436655	0.049430464	0.043782014	0.176356203	0.554950176
	KIRP	AR	(continuous)	0.932693036	0.812148114	1.071130111	0.323733652	289/44	2(0.69%)	0.331184045	0.323733652	0.323667548	0.341579168	0.565474409
	KIRP	AR	H (vs L)	0.815863758	0.450284372	1.478251773	0.502169952	145/24--144/20	2(0.69%)	0.501227557	0.502169952	0.501439226	0.503698934	0.548338821
	KIRP	ESR1	(continuous)	0.92276275	0.769778336	1.106151022	0.384772392	289/44	2(0.69%)	0.38858638	0.384772392	0.384413294	0.876132784	0.536366357
	KIRP	ESR1	H (vs L)	0.956649041	0.52915566	1.729505053	0.883376766	146/23--143/21	2(0.69%)	0.883342746	0.883376766	0.883367345	0.446823828	0.485483388
	KIRP	ESR2	(continuous)	1.34887042	1.040975213	1.74783356	0.02359084	289/44	2(0.69%)	0.025468325	0.02359084	0.023688162	0.886252317	0.562256809
	KIRP	ESR2	H (vs L)	0.961019915	0.529990459	1.742596044	0.895821002	145/24--144/20	2(0.69%)	0.895762903	0.895821002	0.895814294	0.530354332	0.502544148
	KIRP	PGR	(continuous)	1.128594548	0.981106419	1.298254327	0.090451944	289/44	2(0.69%)	0.09509804	0.090451944	0.089384513	0.453519422	0.613663574
	KIRP	PGR	H (vs L)	1.508802244	0.827512139	2.750997966	0.179544356	147/19--142/25	2(0.69%)	0.176924055	0.179544356	0.176598347	0.652681297	0.569814427
	KIRP	BMI	(continuous)	1.003955885	0.997983778	1.00996373	0.194645264	212/30	79(27.15%)	0.285080333	0.194645264	0.164863382	0.406598586	0.415591256
	KIRP	tobacco_smoking_history	(continuous)	0.742846237	0.558531407	0.987984783	0.041048291	247/39	44(15.12%)	0.03169146	0.041048291	0.038142053	0.232703367	0.568711542
	KIRP	age_at_initial_pathologic_diagnosis	(continuous)	1.005439443	0.979776316	1.03177476	0.680915579	288/44	3(1.03%)	0.680165215	0.680915579	0.680886392	0.044804701	0.48315201
	KIRP	BMI_category	Over (vs Normal)	0.7990426	0.341135218	1.871601179	0.605432293	86/13--51/9	NA	NA	NA	NA	0.600430283	NA
	KIRP	BMI_category	Obesity (vs Normal)	0.699075908	0.268799043	1.818113337	0.462881515	76/8--51/9	NA	NA	NA	NA	0.857214263	NA
	KIRP	BMI_category	Global	NA	NA	NA	NA	NA	79(27.15%)	0.758884038	0.75498858	0.753437699	0.754757879	0.537002897
	KIRP	tobacco_smoking_history_v2	No (vs Yes)	0.593296556	0.233114897	1.509988455	0.273370253	43/5--248/39	1(0.34%)	0.242070749	0.273370253	0.268010388	0.032531248	0.556460045
	KIRP	gender	FEMALE (vs MALE)	1.634379142	0.847625116	3.151387481	0.14251897	77/13--214/31	1(0.34%)	0.156440538	0.14251897	0.138623055	0.521151142	0.562658701
	KIRP	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	0.975297097	0.217433382	4.374693613	0.973941947	21/2--173/12	NA	NA	NA	NA	0.361061816	NA
	KIRP	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	4.597585171	2.173968231	9.723136293	6.55E-05	52/16--173/12	NA	NA	NA	NA	0.04049146	NA
	KIRP	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	16.34751691	6.794363478	39.33279548	4.45E-10	15/9--173/12	NA	NA	NA	NA	3.56E-05	NA
	KIRP	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	31(10.65%)	2.00E-08	1.79E-09	1.54E-14	9.00E-05	0.823720326
	KIRP	pathologic_stage_v2	StageIII/IV (vs StageI/II)	6.203392408	3.222581748	11.94138129	4.71E-08	67/25--194/14	31(10.65%)	2.56E-08	4.71E-08	4.18E-10	0.000279109	0.784959199
	KIRP	clinical_stage	Stage_II (vs Stage_I)	0.564874883	0.072850692	4.379967091	0.584689282	21/1--139/11	NA	NA	NA	NA	0.471179838	NA
	KIRP	clinical_stage	Stage_III (vs Stage_I)	6.588594017	2.904200474	14.94716756	6.46E-06	29/12--139/11	NA	NA	NA	NA	0.003368857	NA
	KIRP	clinical_stage	Stage_IV (vs Stage_I)	19.66624435	7.472345845	51.75900244	1.60E-09	11/7--139/11	NA	NA	NA	NA	0.001892333	NA
	KIRP	clinical_stage	Global	NA	NA	NA	NA	NA	91(31.27%)	1.01E-08	1.22E-09	3.33E-16	0.001733836	0.849078341
	KIRP	clinical_stage_v2	StageIII/IV (vs StageI/II)	9.226109792	4.469888211	19.04322835	1.86E-09	40/19--160/12	91(31.27%)	2.89E-09	1.86E-09	2.76E-13	1.00E-04	0.8234447
	KIRP	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	15.2679421	7.748135927	30.08595333	3.33E-15	47/28--229/12	16(5.5%)	2.22E-16	3.33E-15	0	0.002892627	0.844822006
	KIRP	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	7.093691596	3.056211223	16.46498124	5.11E-06	14/8--185/17	92(31.62%)	9.44E-05	5.11E-06	1.02E-07	0.935934659	0.640286449
	KIRP	new_tumor_event_dx_days_to	Yes (vs No)	4.737756617	2.612847878	8.590755686	3.01E-07	53/24--238/20	1(0.34%)	5.65E-07	3.01E-07	1.63E-08	0.008044558	0.727557879
	KIRP	lymph_nodes_examined_positive	Yes (vs NO)	8.950097552	4.909039536	16.31770239	8.53E-13	29/19--262/25	1(0.34%)	2.08E-10	8.53E-13	0	0.000486725	0.749439881
	KIRP	hemoglobin_level	Low (vs Normal)	4.340036625	1.860069508	10.12645916	0.000684751	97/23--112/7	NA	NA	NA	NA	0.568548652	NA
	KIRP	hemoglobin_level	Elevated (vs Normal)	1.64E-06	0	Inf	0.99807807	1/0--112/7	NA	NA	NA	NA	0.99984067	NA
	KIRP	hemoglobin_level	Global	NA	NA	NA	NA	NA	81(27.84%)	0.0008809	0.00313509	0.001006261	0.849966376	0.67325228
	LAML	AR	(continuous)	0.924964567	0.869401126	0.984079069	0.013597896	161/103	39(19.5%)	0.012545715	0.013597896	0.012891343	0.801033513	0.563734763
	LAML	AR	H (vs L)	0.620741017	0.419694548	0.918094866	0.016945028	78/59--83/44	39(19.5%)	0.016197223	0.016945028	0.015941363	0.609357616	0.554802438
	LAML	ESR1	(continuous)	1.063582314	0.957415086	1.181522367	0.250604652	161/103	39(19.5%)	0.253533603	0.250604652	0.250134832	0.346869724	0.526586801
	LAML	ESR1	H (vs L)	1.721907806	1.162901277	2.549628719	0.006656648	82/45--79/58	39(19.5%)	0.006367362	0.006656648	0.006041425	0.650256597	0.563629676
	LAML	ESR2	(continuous)	1.006370902	0.865315783	1.170419415	0.934308697	161/103	39(19.5%)	0.934375591	0.934308697	0.934308801	0.698881499	0.489754098
	LAML	ESR2	H (vs L)	0.975318812	0.662274236	1.43633367	0.89930547	80/50--81/53	39(19.5%)	0.899318972	0.89930547	0.899302891	0.238523055	0.51550021
	LAML	PGR	(continuous)	0.924071384	0.751776651	1.13585321	0.453231676	161/103	39(19.5%)	0.445369738	0.453231676	0.452898323	0.047105157	0.545187053
	LAML	PGR	H (vs L)	0.788644186	0.531884123	1.169351792	0.237410865	97/61--64/42	39(19.5%)	0.234544632	0.237410865	0.236325001	0.191418394	0.543505675
	LAML	wbc_24hr_of_banking	(continuous)	1.003717436	0.99973894	1.007711765	0.067083109	185/120	15(7.5%)	0.081353682	0.067083109	0.066642219	0.485856919	0.560974656
	LAML	metamyelocytes_24hr_of_banking	(continuous)	1.145219103	0.983592756	1.333404283	0.08066487	186/120	14(7%)	0.103797425	0.08066487	0.0783032	0.2454865	0.527084625
	LAML	basophils_count	(continuous)	0.971761721	0.868890943	1.086811699	0.615842382	186/120	14(7%)	0.603099202	0.615842382	0.61544042	0.658746076	0.486089585
	LAML	basophils_count.1	(continuous)	1.119755937	0.991107431	1.265103377	0.069291553	186/120	14(7%)	0.104033344	0.069291553	0.064721678	0.611769823	0.513484191
	LAML	age_at_initial_pathologic_diagnosis	(continuous)	1.043541125	1.02911422	1.058170277	1.97E-09	186/120	14(7%)	1.90E-10	1.97E-09	9.75E-10	0.078523823	0.691723497
	LAML	gender	FEMALE (vs MALE)	1.087806962	0.759394457	1.558246806	0.646245515	91/63--109/70	14(7%)	0.646594543	0.646245515	0.646149329	0.529235729	0.503913515
	LAML	history_neoadjuvant_hydroxyurea_tx	YES (vs NO)	1.497615044	0.990604024	2.264124481	0.055467386	49/35--151/98	14(7%)	0.063743955	0.055467386	0.05384128	0.123578879	0.523984811
	LAML	fab_category	M1 (vs M0_Undifferentiated)	1.041733929	0.523032811	2.074840345	0.907408152	44/31--19/14	NA	NA	NA	NA	0.774003764	NA
	LAML	fab_category	M2 (vs M0_Undifferentiated)	1.046929344	0.527319071	2.078553784	0.895722765	44/29--19/14	NA	NA	NA	NA	0.876355867	NA
	LAML	fab_category	M3 (vs M0_Undifferentiated)	0.298801921	0.111621453	0.79986943	0.01619672	21/7--19/14	NA	NA	NA	NA	0.123229851	NA
	LAML	fab_category	M4 (vs M0_Undifferentiated)	1.025259401	0.522709065	2.010978784	0.942143664	42/30--19/14	NA	NA	NA	NA	0.314530038	NA
	LAML	fab_category	M5 (vs M0_Undifferentiated)	1.466192045	0.683745474	3.144034139	0.325512753	22/15--19/14	NA	NA	NA	NA	0.181344878	NA
	LAML	fab_category	M6 (vs M0_Undifferentiated)	2.464739271	0.685453036	8.862663605	0.167109466	3/3--19/14	NA	NA	NA	NA	0.236545074	NA
	LAML	fab_category	M7 (vs M0_Undifferentiated)	2.312517471	0.646243795	8.275107773	0.197467866	3/3--19/14	NA	NA	NA	NA	0.301048743	NA
	LAML	fab_category	Global	NA	NA	NA	NA	NA	16(8%)	0.010513411	0.039703926	0.020163491	0.047631704	0.586000786
	LAML	cyto_risk_group	Poor (vs Intermediate/Normal)	1.41200188	0.916103677	2.176335887	0.118054274	43/34--116/82	NA	NA	NA	NA	0.662313634	NA
	LAML	cyto_risk_group	Favorable (vs Intermediate/Normal)	0.369840074	0.204831572	0.667776352	0.000968989	38/14--116/82	NA	NA	NA	NA	0.877111796	NA
	LAML	cyto_risk_group	Global	NA	NA	NA	NA	NA	17(8.5%)	5.81E-05	0.000360548	0.000170085	0.906616448	0.599628763
	LGG	AR	(continuous)	1.175158772	1.05676997	1.306810544	0.002890497	514/125	1(0.19%)	0.002250647	0.002890497	0.002743817	0.673226081	0.585711728
	LGG	AR	H (vs L)	1.345353913	0.939700682	1.926120929	0.105173236	257/50--257/75	1(0.19%)	0.102397113	0.105173236	0.103923286	0.302291195	0.545353626
	LGG	ESR1	(continuous)	1.249773573	1.036571993	1.506826341	0.019473096	514/125	1(0.19%)	0.020870258	0.019473096	0.019656373	0.039749834	0.589525515
	LGG	ESR1	H (vs L)	1.661837303	1.159726798	2.38133949	0.005651998	260/49--254/76	1(0.19%)	0.005054696	0.005651998	0.005160526	0.325069824	0.57652641
	LGG	ESR2	(continuous)	1.443317468	1.145083534	1.81922563	0.001889119	514/125	1(0.19%)	0.001954958	0.001889119	0.002197787	0.028237238	0.578549687
	LGG	ESR2	H (vs L)	1.196593397	0.836833255	1.711016799	0.325274517	259/56--255/69	1(0.19%)	0.324371721	0.325274517	0.32465647	0.043783236	0.545496867
	LGG	PGR	(continuous)	0.851059353	0.74597556	0.970946048	0.016464397	514/125	1(0.19%)	0.019124785	0.016464397	0.016863905	0.022480281	0.58431513
	LGG	PGR	H (vs L)	0.724293499	0.508794881	1.031065941	0.073425882	260/68--254/57	1(0.19%)	0.072690023	0.073425882	0.072210043	0.212100972	0.551101164
	LGG	eastern_cancer_oncology_group	(continuous)	1.898980171	1.324444952	2.722744864	0.000485892	149/30	366(71.07%)	0.003472937	0.000485892	0.000437874	0.395528937	0.713576159
	LGG	karnofsky_performance_score	(continuous)	0.959643191	0.943815233	0.975736588	1.21E-06	295/87	220(42.72%)	7.38E-06	1.21E-06	8.24E-07	0.005409177	0.69544685
	LGG	age_at_initial_pathologic_diagnosis	(continuous)	1.058336933	1.043359313	1.073529559	6.33E-15	514/125	1(0.19%)	7.66E-15	6.33E-15	8.88E-16	0.008291532	0.747663384
	LGG	gender	FEMALE (vs MALE)	0.916038609	0.642069737	1.306909024	0.628610578	230/54--285/71	1(0.19%)	0.627979526	0.628610578	0.628503063	0.784210788	0.516293644
	LGG	histological_grade_v2	G_1/2/Low (vs G_3/4/High)	0.299426054	0.202418233	0.442924339	1.57E-09	249/37--265/88	2(0.39%)	1.82E-10	1.57E-09	1.87E-10	0.033479013	0.663239305
	LGG	histological_type	Oligodendroglioma (vs Astrocytoma)	0.560924944	0.375405746	0.838124606	0.004775077	191/42--194/58	NA	NA	NA	NA	0.141419247	NA
	LGG	histological_type	Oligoastrocytoma (vs Astrocytoma)	0.606070926	0.378969895	0.969264241	0.036593121	130/25--194/58	NA	NA	NA	NA	0.447427519	NA
	LGG	histological_type	Global	NA	NA	NA	NA	NA	1(0.19%)	0.010470661	0.009486998	0.008450115	0.328451811	0.594592659
	LGG	tumor_status	TUMOR_FREE (vs WITH_TUMOR)	0.061325532	0.022608399	0.166346184	4.18E-08	212/4--269/113	35(6.8%)	0	4.18E-08	1.10E-13	0.873910382	0.677022552
	LGG	treatment_outcome_first_course	Partial_Remission/Response (vs Complete_Remission/Response)	1.182591314	0.374680375	3.732573978	0.774893972	63/5--135/7	NA	NA	NA	NA	0.856187783	NA
	LGG	treatment_outcome_first_course	Stable_Disease (vs Complete_Remission/Response)	3.188330654	1.401183945	7.254902113	0.005708307	146/31--135/7	NA	NA	NA	NA	0.631692857	NA
	LGG	treatment_outcome_first_course	Progressive_Disease (vs Complete_Remission/Response)	8.504572801	3.885910912	18.61281953	8.48E-08	101/68--135/7	NA	NA	NA	NA	0.161806533	NA
	LGG	treatment_outcome_first_course	Global	NA	NA	NA	NA	NA	71(13.79%)	7.56E-14	2.10E-11	2.72E-14	0.00363138	0.756386694
	LGG	treatment_outcome_first_course_v2	Complete_Remission/Response (vs Uncomplete_Remission/Response)	0.21511645	0.099751789	0.463902328	8.90E-05	135/7--310/104	71(13.79%)	9.80E-07	8.90E-05	1.64E-05	0.545071184	0.610710347
	LGG	new_tumor_event_dx_days_to	Yes (vs NO)	2.602768849	1.751139334	3.868570336	2.24E-06	165/89--350/36	1(0.19%)	7.43E-07	2.24E-06	1.01E-06	0.144759155	0.585138765
	LGG	radiation_therapy	YES (vs NO)	1.429900901	0.970897745	2.105903116	0.070227267	142/38--373/87	1(0.19%)	0.077013801	0.070227267	0.06883334	0.774573105	0.536007162
	LGG	targeted_molecular_therapy	YES (vs NO)	1.261193264	0.841036009	1.891248925	0.26163693	138/33--377/92	1(0.19%)	0.269904653	0.26163693	0.260616144	0.963865916	0.520483438
	LGG	history_neoadjuvant_steroid_tx	YES (vs NO)	1.27058065	0.883657836	1.826923411	0.196206013	151/48--364/77	1(0.19%)	0.200654218	0.196206013	0.195167776	0.445429583	0.519015219
	LGG	history_neoadjuvant_medication	NO (vs YES)	0.863507862	0.604319522	1.233860235	0.420294823	250/56--265/69	1(0.19%)	0.41920221	0.420294823	0.419892846	0.115425746	0.503115488
	LGG	firstsymptomlongestduration	31-90Days (vs 0-30Days)	1.056898202	0.637510776	1.752180279	0.830116007	77/21--219/56	NA	NA	NA	NA	0.529242074	NA
