Cancer	Characteristic	Type	Total	Percent	Events	
		R1	147	29.40%	5	
		RX	15	3%	0	
		R2	5	1%	0	
	new_tumor_event_type					
		NO	409	81.80%	6	
		Biochemical_evidence_of_disease	70	14%	1	
		Locoregional_Recurrence	8	1.60%	1	
		New_Primary_Tumor	7	1.40%	0	
		Distant_Metastasis	6	1.20%	2	
	new_tumor_event_dx_days_to					
		NO	409	81.80%	6	
		Yes	91	18.20%	4	
	other_dx					
		No	471	94.20%	10	
		Yes	29	5.80%	0	
	radiation_therapy					
		NO	460	92%	8	
		YES	40	8%	2	
	targeted_molecular_therapy					
		NO	457	91.40%	8	
		YES	43	8.60%	2	
	number_of_lymphnodes_positive_by_he					
		NO	420	84%	7	
		Yes	80	16%	3	
	zone_of_origin					
		Peripheral_Zone	138	27.60%	4	
		Overlapping_/_Multiple_Zones	127	25.40%	5	
		Transition_Zone	8	1.60%	0	
		Central_Zone	4	0.80%	0	
	biochemical_recurrence_indicator					
		NO	373	74.60%	5	
		YES	58	11.60%	5	
READ			170		26	
	BMI	Median(Range)	26.50532086(15.625-50.92155009)		15	
		Mean(SD)	26.9576760539189(¡À5.80663638715575)			
	cea_level_pretreatment	Median(Range)	3.555(0.33-7868)		15	
		Mean(SD)	135.193947368421(¡À820.784195935003)			
	age_at_initial_pathologic_diagnosis	Median(Range)	66(31-90)		26	
		Mean(SD)	64.4588235294118(¡À11.91344816283)			
	BMI_category					
		Over	37	21.76%	7	
		Normal	22	12.94%	4	
		Obesity	15	8.82%	4	
	gender					
		MALE	92	54.12%	13	
		FEMALE	78	45.88%	13	
	ajcc_pathologic_tumor_stage					
		Stage_III	52	30.59%	8	3
		Stage_II	51	30%	4	2
		Stage_I	33	19.41%	2	1
		Stage_IV	25	14.71%	9	4
	pathologic_stage_v2					
		StageI/II	84	49.41%	6	
		StageIII/IV	77	45.29%	17	
	histological_type					
		Rectal_Adenocarcinoma	151	88.82%	24	
		Rectal_Mucinous_Adenocarcinoma	13	7.65%	2	
	tumor_status					
		TUMOR_FREE	103	60.59%	5	
		WITH_TUMOR	55	32.35%	15	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	51	30%	2	
		Uncomplete_Remission/Response	12	7.06%	2	
	residual_tumor					
		R0	127	74.71%	12	1
		R2	12	7.06%	6	3
		RX	5	2.94%	0	4
		R1	2	1.18%	1	2
	new_tumor_event_dx_days_to					
		NO	138	81.18%	16	
		Yes	32	18.82%	10	
	number_of_lymphnodes_positive_by_he					
		NO	95	55.88%	8	
		Yes	75	44.12%	18	
	vascular_invasion_indicator					
		NO	132	77.65%	18	
		YES	38	22.35%	8	
	lymphovascular_invasion_indicator					
		NO	102	60%	16	
		YES	68	40%	10	
	history_colon_polyps					
		NO	136	80%	22	
		YES	34	20%	4	
SARC			261		99	
	age_at_initial_pathologic_diagnosis	Median(Range)	61(20-90)		99	
		Mean(SD)	60.8697318007663(¡À14.6518010026106)			
	race					
		WHITE	228	87.36%	86	
		BLACK_OR_AFRICAN_AMERICAN	18	6.90%	7	
		ASIAN	6	2.30%	1	
	gender					
		FEMALE	142	54.41%	58	
		MALE	119	45.59%	41	
	histological_type					
		Leiomyosarcoma_(LMS)	105	40.23%	41	
		Dedifferentiated_liposarcoma	59	22.61%	26	
		Pleomorphic_'MFH'_/_Undifferentiated_pleomorphic_sarcoma	29	11.11%	11	
		Myxofibrosarcoma	25	9.58%	9	
		Undifferentiated_Pleomorphic_Sarcoma_(UPS)	21	8.05%	5	
		Malignant_Peripheral_Nerve_Sheath_Tumors_(MPNST)	9	3.45%	3	
		Synovial_Sarcoma_-_Monophasic	6	2.30%	3	
		Desmoid_Tumor	2	0.77%	0	
		Sarcoma;_synovial;_poorly_differentiated	2	0.77%	1	
		Synovial_Sarcoma_-_Biphasic	2	0.77%	0	
		Giant_cell_'MFH'_/_Undifferentiated_pleomorphic_sarcoma_with_giant_cells	1	0.38%	0	
	tumor_status					
		TUMOR_FREE	129	49.43%	12	
		WITH_TUMOR	123	47.13%	81	
	margin_status					
		Negative	137	52.49%	38	
		Positive	74	28.35%	31	
	residual_tumor					
		R0	155	59.39%	44	
		R1	70	26.82%	35	
		RX	26	9.96%	12	
		R2	9	3.45%	8	
	new_tumor_event_type					
		NO	136	52.11%	29	
		Distant_Metastasis	68	26.05%	41	
		Locoregional_Recurrence	48	18.39%	28	
		New_Primary_Tumor	8	3.07%	1	
		Locoregional_Disease	1	0.38%	0	
	new_tumor_event_dx_days_to					
		NO	135	51.72%	29	
		Yes	126	48.28%	70	
	other_dx					
		No	219	83.91%	83	
		Yes	42	16.09%	16	
	radiation_therapy					
		NO	188	72.03%	72	
		YES	73	27.97%	27	
	postoperative_rx_tx					
		NO	224	85.82%	81	
		YES	37	14.18%	18	
	histologic_subtype					
		Conventional_leiomyosarcoma	66	25.29%	22	
		Poorly_differentiated_or_pleomorphic_or_epithelioid_leiomyosarcoma	34	13.03%	18	
		Well-differentiated_leiomyosarcoma_(resembling_leiomyoma)	4	1.53%	1	
	leiomyosarcoma_uterine_involvement					
		NO	231	88.51%	85	
		YES	30	11.49%	14	
	tumor_total_depth					
		Deep	187	71.65%	74	
		Superficial	21	8.05%	3	
	disease_multifocal_indicator					
		NO	199	76.25%	66	
		YES	40	15.33%	24	
	locoregional_recurrence_indicator					
		NO	144	55.17%	43	
		YES	29	11.11%	21	
	metastatic_disease_confirmed					
		NO	121	46.36%	28	
		YES	56	21.46%	37	
SKCM			470		NA	
	BMI	Median(Range)	26.609744605(17.63085399-55.47337278)		NA	
		Mean(SD)	27.94186199316(¡À6.10420131960602)			
	breslow_thickness_at_diagnosis	Median(Range)	3(0-75)		NA	
		Mean(SD)	5.58490250696379(¡À8.44431430340643)			
	age_at_initial_pathologic_diagnosis	Median(Range)	58(15-90)		NA	
		Mean(SD)	58.2164502164502(¡À15.7330189406098)			
	race					
		WHITE	447	95.11%	207	
		ASIAN	12	2.55%	7	
		BLACK_OR_AFRICAN_AMERICAN	1	0.21%	0	
	BMI_category					
		Over	89	18.94%	31	2
		Normal	83	17.66%	25	1
		Obesity	78	16.60%	30	3
	gender					
		MALE	290	61.70%	145	
		FEMALE	180	38.30%	71	
	ajcc_pathologic_tumor_stage					
		Stage_III	171	36.38%	83	3
		Stage_II	140	29.79%	59	2
		Stage_I	77	16.38%	39	1
		Stage_IV	23	4.89%	10	4
		I/II_NOS	14	2.98%	6	5
		Stage_0	7	1.49%	0	6
	pathologic_stage_v2					
		StageI/II	224	47.66%	98	
		StageIII/IV	194	41.28%	93	
		I/II_NOS	14	2.98%	6	
	tumor_status					
		WITH_TUMOR	247	52.55%	190	
		TUMOR_FREE	214	45.53%	20	
	new_tumor_event_dx_days_to					
		Yes	280	59.57%	167	
		NO	190	40.43%	49	
	other_dx					
		No	448	95.32%	203	
		Yes	22	4.68%	13	
	history_of_neoadjuvant_treatment					
		No	445	94.68%	203	
		Yes	25	5.32%	13	
	radiation_therapy					
		NO	447	95.11%	207	
		YES	23	4.89%	9	
	new_tumor_event_after_initial_treatment					
		YES	338	71.91%	178	
		NO	132	28.09%	38	
	postoperative_rx_tx					
		NO	378	80.43%	170	
		YES	92	19.57%	46	
	primary_melanoma_known_dx					
		YES	423	90%	200	
		NO	47	10%	16	
	clark_level_at_diagnosis					
		IV	168	35.74%	90	2
		III	77	16.38%	36	3
		V	52	11.06%	30	1
		II	18	3.83%	6	4
		I	6	1.28%	0	5
	primary_melanoma_tumor_ulceration					
		NO	303	64.47%	138	
		YES	167	35.53%	78	
	submitted_tumor_site.1					
		Regional_Lymph_Node	222	47.23%	107	2
		Primary_Tumor	103	21.91%	30	1
		Regional_Cutaneous_or_Subcutaneous_Tissue_(includes_satellite_and_in-transit_metastasis)	74	15.74%	40	3
		Distant_Metastasis	68	14.47%	38	4
STAD			443		172	
	age_at_initial_pathologic_diagnosis	Median(Range)	67(30-90)		172	
		Mean(SD)	65.6780821917808(¡À10.7566816645557)			
	race					
		WHITE	278	62.75%	113	
		ASIAN	89	20.09%	25	
		BLACK_OR_AFRICAN_AMERICAN	13	2.93%	8	
		NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER	1	0.23%	1	
	gender					
		MALE	285	64.33%	114	
		FEMALE	158	35.67%	58	
	ajcc_pathologic_tumor_stage					
		Stage_III	183	41.31%	85	3
		Stage_II	130	29.35%	37	2
		Stage_I	59	13.32%	13	1
		Stage_IV	44	9.93%	26	4
	pathologic_stage_v2					
		StageIII/IV	227	51.24%	111	2
		StageI/II	189	42.66%	50	1
	histological_grade					
		G3	263	59.37%	109	
		G2	159	35.89%	56	
		G1	12	2.71%	3	
		GX	9	2.03%	4	
	histological_grade_v2					
		G_3/4/High	263	59.37%	109	2
		G_1/2/Low	171	38.60%	59	1
		GX	9	2.03%	4	3
	histological_type					
		Stomach_Adenocarcinoma_Not_Otherwise_Specified_(NOS)	164	37.02%	61	
		Stomach_Intestinal_Adenocarcinoma_Not_Otherwise_Specified_(NOS)	82	18.51%	37	
		Stomach_Intestinal_Adenocarcinoma_Tubular_Type	79	17.83%	31	
		Stomach_Adenocarcinoma_Diffuse_Type	72	16.25%	28	
		Stomach_Intestinal_Adenocarcinoma_Mucinous_Type	22	4.97%	3	
		Stomach_Adenocarcinoma_Signet_Ring_Type	13	2.93%	9	
		Stomach_Intestinal_Adenocarcinoma_Papillary_Type	8	1.81%	3	
	tumor_status					
		TUMOR_FREE	251	56.66%	44	
		WITH_TUMOR	144	32.51%	99	
	treatment_outcome_first_course					
		Complete_Remission/Response	274	61.85%	68	1
		Progressive_Disease	72	16.25%	55	4
		Stable_Disease	18	4.06%	8	3
		Partial_Remission/Response	7	1.58%	4	2
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	274	61.85%	68	
		Uncomplete_Remission/Response	97	21.90%	67	
	residual_tumor					
		R0	350	79.01%	119	1
		RX	25	5.64%	13	4
		R2	19	4.29%	14	3
		R1	18	4.06%	9	2
	new_tumor_event_type					
		NO	339	76.52%	103	
		Distant_Metastasis	60	13.54%	40	
		Locoregional_Recurrence	36	8.13%	26	
		Locoregional_Recurrence|Distant_Metastasis	4	0.90%	3	
		New_Primary_Tumor	3	0.68%	0	
		Locoregional_Recurrence|New_Primary_Tumor	1	0.23%	0	
	new_tumor_event_dx_days_to					
		NO	328	74.04%	97	
		Yes	115	25.96%	75	
	radiation_therapy					
		NO	392	88.49%	152	
		YES	51	11.51%	20	
	targeted_molecular_therapy					
		NO	341	76.98%	134	
		YES	102	23.02%	38	
	anatomic_neoplasm_subdivision					
		Antrum/Distal	161	36.34%	65	
		Fundus/Body	152	34.31%	54	
		Cardia/Proximal	62	14%	28	
		Gastroesophageal_Junction	46	10.38%	14	
		Stomach_(NOS)	8	1.81%	4	
		Other_(please_specify)	5	1.13%	1	
	number_of_lymphnodes_positive_by_he					
		Yes	278	62.75%	124	
		NO	165	37.25%	48	
	history_reflux_disease_indicator					
		NO	397	89.62%	161	
		YES	46	10.38%	11	
	h_pylori_infection					
		No	423	95.56%	166	
		Yes	20	4.51%	6	
TGCT			134		4	
	age_at_initial_pathologic_diagnosis	Median(Range)	31(14-67)		4	
		Mean(SD)	31.9850746268657(¡À9.31163479071167)			
	race					
		WHITE	119	88.81%	3	
		BLACK_OR_AFRICAN_AMERICAN	6	4.48%	1	
		ASIAN	4	2.99%	0	
	pathologic_stage_v2					
		StageI/II	67	50%	1	
		IS	46	34.33%	2	
		StageIII/IV	14	10.45%	1	
	clinical_stage_v2					
		StageI/II	68	50.75%	1	
		Stage_IS	42	31.34%	2	
		StageIII/IV	15	11.19%	1	
	laterality					
		Left	72	53.73%	1	
		Right	57	42.54%	3	
		Bilateral	5	3.73%	0	
	tumor_status					
		TUMOR_FREE	126	94.03%	1	
		WITH_TUMOR	7	5.22%	3	
	new_tumor_event_type					
		NO	101	75.37%	2	
		Yes	33	24.63%	2	
	postoperative_rx_tx					
		NO	92	68.66%	3	
		YES	42	31.34%	1	
	history_of_undescended_testis					
		No	111	82.84%	3	
		Yes	23	17.16%	1	
	first_treatment_success					
		No_Measureable_Tumor_or_Tumor_Markers	96	71.64%	1	
		"Normalization_of_Tumor_Markers,_but_Residual_Tumor_Mass"	15	11.19%	1	
		Progressive_Tumor_Mass_and_Tumor_Markers	3	2.24%	2	
	lymphovascular_invasion_present					
		NO	79	58.96%	1	
		YES	55	41.04%	3	
THCA			507		16	
	tumor_size_width	Median(Range)	2.5(0.1-12)		15	
		Mean(SD)	2.90313807531381(¡À1.66822901167753)			
	tumor_size_width.1	Median(Range)	2(0.2-9)		12	
		Mean(SD)	2.25990675990676(¡À1.24535623048937)			
	tumor_size_width.2	Median(Range)	1.5(0-5.5)		12	
		Mean(SD)	1.73341523341523(¡À0.912104631704191)			
	age_at_initial_pathologic_diagnosis	Median(Range)	46(15-89)		16	
		Mean(SD)	47.2642998027613(¡À15.7972944990897)			
	race					
		WHITE	334	65.88%	14	
		ASIAN	52	10.26%	0	
		BLACK_OR_AFRICAN_AMERICAN	27	5.33%	2	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	1	0.20%	0	
	gender					
		FEMALE	371	73.18%	10	
		MALE	136	26.82%	6	
	ajcc_pathologic_tumor_stage					
		Stage_I	285	56.21%	2	1
		Stage_III	113	22.29%	7	3
		Stage_IV	55	10.85%	5	4
		Stage_II	52	10.26%	2	2
	pathologic_stage_v2					
		StageI/II	337	66.47%	4	
		StageIII/IV	168	33.14%	12	
	histological_type					
		Thyroid_Papillary_Carcinoma_-_Classical/usual	359	70.81%	15	
		Thyroid_Papillary_Carcinoma_-_Follicular_(>=_99%_follicular_patterned)	102	20.12%	1	
		Thyroid_Papillary_Carcinoma_-_Tall_Cell_(>=_50%_tall_cell_features)	37	7.30%	0	
		"Other,_specify"	9	1.78%	0	
	laterality					
		Right_lobe	215	42.41%	6	
		Left_lobe	178	35.11%	6	
		Bilateral	86	16.96%	2	
		Isthmus	22	4.34%	1	
	tumor_status					
		TUMOR_FREE	451	88.95%	3	
		WITH_TUMOR	44	8.68%	7	
	residual_tumor					
		R0	389	76.73%	8	
		R1	52	10.26%	4	
		RX	30	5.92%	3	
		R2	4	0.79%	0	
	new_tumor_event_dx_days_to					
		NO	460	90.73%	14	
		Yes	47	9.27%	2	
	other_dx					
		No	473	93.29%	12	
		Yes	34	6.71%	4	
	radiation_therapy					
		YES	157	30.97%	9	
		NO	78	15.38%	4	
	postoperative_rx_tx					
		NO	219	43.20%	13	
		YES	17	3.35%	0	
	number_of_lymphnodes_positive_by_he					
		NO	288	56.80%	10	
		Yes	219	43.20%	6	
	history_thyroid_disease					
		Normal	281	55.42%	14	
		Nodular_Hyperplasia	69	13.61%	1	
		Lymphocytic_Thyroiditis	43	8.48%	0	
		"Other,_specify"	26	5.13%	0	
		Lymphocytic_Thyroiditis|Nodular_Hyperplasia	23	4.54%	0	
		"Lymphocytic_Thyroiditis|Other,_specify"	5	0.99%	0	
		"Lymphocytic_Thyroiditis|Nodular_Hyperplasia|Other,_specify"	1	0.20%	0	
		"Normal|Other,_specify"	1	0.20%	0	
	tumor_focality					
		Unifocal	269	53.06%	14	
		Multifocal	228	44.97%	2	
	extrathyroidal_extension					
		None	354	69.82%	7	
		Minimal_(T3)	134	26.43%	4	
		Moderate/Advanced_(T4a)	18	3.55%	4	
		Very_Advanced_(T4b)	1	0.20%	1	
THYM			124		9	
	BMI	Median(Range)	26.278075795(17.50638983-50.6122449)		9	
		Mean(SD)	27.3499703379(¡À6.11297809932607)			
	age_at_initial_pathologic_diagnosis	Median(Range)	60(17-84)		9	
		Mean(SD)	58.1626016260163(¡À13.0090598844691)			
	race					
		WHITE	103	83.06%	8	
		ASIAN	13	10.48%	1	
		BLACK_OR_AFRICAN_AMERICAN	6	4.84%	0	
	BMI_category					
		Normal	38	30.65%	4	
		Over	37	29.84%	3	
		Obesity	25	20.16%	2	
	gender					
		MALE	64	51.61%	4	
		FEMALE	60	48.39%	5	
	clinical_stage					
		Stage_II	61	49.19%	7	
		Stage_I	38	30.65%	0	
		Stage_III	15	12.10%	1	
		Stage_IV	8	6.45%	1	
	clinical_stage_v2					
		StageI/II	99	79.84%	7	
		StageIII/IV	23	18.55%	2	
	histological_type					
		Type_B	58	46.77%	4	3
		Type_AB	38	30.65%	1	2
		Type_A	17	13.71%	2	1
		Type_C	11	8.87%	2	4
	tumor_status					
		TUMOR_FREE	113	91.13%	5	
		WITH_TUMOR	10	8.06%	4	
	new_tumor_event_type					
		NO	103	83.06%	4	
		Yes	21	16.94%	5	
	other_dx					
		No	114	91.94%	8	
		Yes	10	8.06%	1	
	radiation_therapy					
		NO	81	65.32%	4	
		YES	42	33.87%	5	
	submitted_tumor_site					
		Thymus	97	78.23%	7	
		Anterior_Mediastinum	27	21.77%	2	
	history_myasthenia_gravis					
		NO	90	72.58%	5	
		YES	34	27.42%	4	
UCEC			548		91	
	BMI	Median(Range)	32.32653061(17.36111111-213.4986226)		87	
		Mean(SD)	33.8661327794584(¡À12.1035591113066)			
	tumor_invasion_percent	Median(Range)	40(0-280)		79	
		Mean(SD)	41.8647368421053(¡À32.292667997828)			
	age_at_initial_pathologic_diagnosis	Median(Range)	64(31-90)		91	
		Mean(SD)	63.9302752293578(¡À11.1443858243535)			
	race					
		WHITE	374	68.25%	65	
		BLACK_OR_AFRICAN_AMERICAN	109	19.89%	19	
		ASIAN	20	3.65%	2	
		NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER	9	1.64%	2	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	4	0.73%	1	
	BMI_category					
		Obesity	308	56.20%	49	3
		Over	114	20.80%	20	2
		Normal	95	17.34%	18	1
	clinical_stage					
		Stage_I	342	62.41%	32	1
		Stage_III	124	22.63%	33	3
		Stage_II	52	9.49%	9	2
		Stage_IV	30	5.47%	17	4
	clinical_stage_v2					
		StageI/II	394	71.90%	41	
		StageIII/IV	154	28.10%	50	
	histological_grade					
		G3	316	57.66%	69	3
		G2	122	22.26%	14	2
		G1	99	18.07%	2	1
		High_Grade	11	2.01%	6	4
	histological_grade_v2					
		G_3/4/High	327	59.67%	75	2
		G_1/2/Low	221	40.33%	16	1
	histological_type					
		Endometrioid_endometrial_adenocarcinoma	411	75%	49	
		Serous_endometrial_adenocarcinoma	115	20.99%	36	
		Mixed_serous_and_endometrioid	22	4.01%	6	
	menopause_status					
		Post	448	81.75%	81	
		Pre	35	6.39%	7	
		Indeterminate	17	3.10%	1	
		Peri	17	3.10%	1	
	tumor_status					
		TUMOR_FREE	427	77.92%	29	
		WITH_TUMOR	101	18.43%	60	
	treatment_outcome_first_course					
		Complete_Remission/Response	441	80.47%	53	1
		Progressive_Disease	20	3.65%	13	4
		Partial_Remission/Response	12	2.19%	6	2
		Stable_Disease	6	1.09%	3	3
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	441	80.47%	53	
		Uncomplete_Remission/Response	38	6.93%	22	
	residual_tumor					
		R0	376	68.61%	51	
		RX	41	7.48%	10	
		R1	22	4.01%	5	
		R2	16	2.92%	11	
	new_tumor_event_type					
		NO	463	84.49%	54	
		Metastatic	27	4.93%	11	
		Locoregional_Recurrence	25	4.56%	13	
		Locoregional_Disease	12	2.19%	4	
		New_Primary_Tumor	11	2.01%	3	
		Distant_Metastasis	10	1.82%	6	
	new_tumor_event_dx_days_to					
		NO	439	80.11%	41	
		Yes	109	19.89%	50	
	other_dx					
		No	501	91.42%	84	
		Yes	47	8.58%	7	
	peritoneal_washing					
		negative	353	64.42%	46	
		positive	58	10.58%	25	
	lymph_nodes_pelvic_pos_by_he					
		NO	492	89.78%	69	
		Yes	56	10.22%	22	
	lymph_nodes_pelvic_pos_total					
		NO	474	86.50%	64	
		Yes	74	13.50%	27	
	lymph_nodes_aortic_pos_by_he					
		NO	519	94.71%	82	
		Yes	29	5.29%	9	
	lymph_nodes_aortic_pos_total					
		NO	510	93.07%	78	
		Yes	38	6.93%	13	
UCS			57		35	
	tumor_invasion_percent	Median(Range)	40(0-100)		27	
		Mean(SD)	45.006(¡À32.9233996919019)			
	BMI	Median(Range)	28.21549753(18.92915089-67.75122723)		30	
		Mean(SD)	29.6331203555769(¡À8.96708603338345)			
	age_at_initial_pathologic_diagnosis	Median(Range)	68(51-90)		35	
		Mean(SD)	69.7368421052632(¡À9.29962809507815)			
	race					
		WHITE	44	77.19%	29	
		BLACK_OR_AFRICAN_AMERICAN	9	15.79%	5	
		ASIAN	3	5.26%	1	
	BMI_category					
		Obesity	20	35.09%	8	3
		Normal	17	29.82%	13	1
		Over	15	26.32%	9	2
	clinical_stage					
		Stage_I	22	38.60%	10	1
		Stage_III	20	35.09%	16	3
		Stage_IV	10	17.54%	7	4
		Stage_II	5	8.77%	2	2
	clinical_stage_v2					
		StageIII/IV	30	52.63%	23	2
		StageI/II	27	47.37%	12	1
	histological_type					
		Uterine_Carcinosarcoma/_Malignant_Mixed_Mullerian_Tumor_(MMMT)_NOS	24	42.11%	14	
		Uterine_Carcinosarcoma/_MMMT_Heterologous_Type	20	35.09%	16	
		Uterine_Carcinosarcoma/MMMT_Homologous_Type	13	22.81%	5	
	tumor_status					
		WITH_TUMOR	37	64.91%	31	
		TUMOR_FREE	17	29.82%	2	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	31	54.39%	12	
		Uncomplete_Remission/Response	18	31.58%	16	
	residual_tumor					
		R0	28	49.12%	12	
		RX	12	21.05%	9	
		R2	10	17.54%	9	
		R1	2	3.51%	1	
	new_tumor_event_type					
		Yes	31	54.39%	25	
		NO	26	45.61%	10	
	other_dx					
		No	49	85.96%	32	
		Yes	8	14.04%	3	
	radiation_therapy					
		NO	32	56.14%	21	
		YES	25	43.86%	14	
	postoperative_rx_tx					
		YES	36	63.16%	20	
		NO	21	36.84%	15	
	hypertension_diagnosis					
		NO	29	50.88%	16	
		YES	28	49.12%	19	
	pregnancies_full_term_count					
		2	19	33.33%	12	3
		3	15	26.32%	10	4
		4+	7	12.28%	3	5
		0	5	8.77%	3	1
		1	4	7.02%	2	2
	lymph_nodes_pelvic_pos_by_he					
		NO	44	77.19%	27	
		Yes	13	22.81%	8	
	lymph_nodes_aortic_pos_by_he					
		NO	48	84.21%	27	
		Yes	9	15.79%	8	
UVM			80		23	
	mitotic_count	Median(Range)	7(0-40)		12	
		Mean(SD)	11.2075471698113(¡À11.1084834015859)			
	tumor_basal_diameter	Median(Range)	17(7.79-25)		22	
		Mean(SD)	16.9269620253165(¡À3.47015160920199)			
	tumor_thickness	Median(Range)	10.5(4-16)		23	
		Mean(SD)	10.421125(¡À2.80899278932971)			
	BMI	Median(Range)	27.734375(18.22222222-75.00015)		17	
		Mean(SD)	28.6781263979245(¡À8.88792880904697)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61.5(22-86)		23	
		Mean(SD)	61.65(¡À13.9457357032104)			
	BMI_category					
		Over	22	27.50%	7	2
		Normal	17	21.25%	4	1
		Obesity	14	17.50%	6	3
	gender					
		MALE	45	56.25%	15	
		FEMALE	35	43.75%	8	
	ajcc_pathologic_tumor_stage					
		Stage_II	39	48.75%	8	
		Stage_III	36	45%	11	
		Stage_IV	4	5%	3	
	pathologic_stage_v2					
		StageIII/IV	40	50%	14	2
		StageI/II	39	48.75%	8	1
	clinical_stage					
		Stage_III	40	50%	13	2
		Stage_II	36	45%	7	1
		Stage_IV	4	5%	3	3
	clinical_stage_v2					
		StageIII/IV	44	55%	16	2
		StageI/II	36	45%	7	1
	histological_type					
		Epithelioid_Cell|Spindle_Cell	37	46.25%	14	3
		Spindle_Cell	30	37.50%	3	1
		Epithelioid_Cell	13	16.25%	6	2
	tumor_status					
		TUMOR_FREE	55	68.75%	4	
		WITH_TUMOR	25	31.25%	19	
	new_tumor_event_type					
		NO	58	72.50%	12	
		Yes	22	27.50%	11	
	tumor_tissue_site					
		Choroid	56	70%	16	
		Choroid|Ciliary_body	22	27.50%	7	
		Choroid|Ciliary_body|Iris	2	2.50%	0	
